Gemeente,Jaar,Totaal,A,BF,GN,OU
De Ronde Venen,2011,14.04,0.27,2.69,8.13,2.95
De Ronde Venen,2012,13.37,0.26,2.63,7.87,2.60
De Ronde Venen,2013,13.45,0.27,2.53,7.69,2.96
De Ronde Venen,2014,13.06,0.41,2.39,7.57,2.69
Roosendaal,2008,41.69,0.35,8.37,19.42,13.54
Roosendaal,2009,41.25,0.36,7.94,18.60,14.36
Roosendaal,2010,39.93,0.33,7.65,18.43,13.52
Roosendaal,2011,38.97,0.37,6.13,19.10,13.38
Roosendaal,2012,37.62,0.39,5.73,18.97,12.52
Roosendaal,2013,38.60,0.39,6.04,20.45,11.72
Roosendaal,2014,37.57,0.39,5.76,20.23,11.19
Rotterdam,2008,370.49,0.36,44.49,196.68,128.96
Rotterdam,2009,369.50,0.28,42.65,192.26,134.31
Rotterdam,2010,376.36,0.31,44.82,189.98,141.25
Rotterdam,2011,371.94,0.33,45.69,188.38,137.54
Rotterdam,2012,363.27,0.28,44.43,186.32,132.24
Rotterdam,2013,357.54,0.28,42.75,183.82,130.69
Rotterdam,2014,366.01,0.34,41.85,194.31,129.51
Rozendaal,2008,0.30,0.00,.,0.13,0.17
Rozendaal,2009,0.26,0.00,.,0.09,0.16
Rozendaal,2010,0.51,0.00,.,0.12,0.39
Rozendaal,2011,0.52,0.00,.,0.12,.
Rozendaal,2012,0.50,0.00,.,0.13,.
Rozendaal,2013,0.55,0.00,0.00,.,0.45
Rozendaal,2014,0.59,0.00,0.01,0.12,0.46
Rucphen,2008,4.48,0.15,1.66,1.78,0.89
Rucphen,2009,4.17,0.16,1.31,1.86,0.83
Rucphen,2010,4.86,0.16,1.42,2.00,1.28
Rucphen,2011,5.22,0.15,1.66,2.08,1.33
Rucphen,2012,5.21,0.16,1.73,2.06,1.26
Rucphen,2013,4.56,0.15,1.29,2.04,1.08
Rucphen,2014,4.35,0.16,1.29,1.89,1.01
Schagen,2008,9.66,0.02,1.71,4.08,3.86
Schagen,2009,9.96,0.00,1.46,4.54,3.94
Schagen,2010,8.96,0.00,1.53,4.04,3.38
Schagen,2011,9.16,0.02,1.40,3.92,3.83
Schagen,2012,8.92,0.02,1.44,3.92,3.55
Schagen,2013,17.48,1.23,3.85,7.44,4.97
Schagen,2014,17.61,1.15,3.66,7.76,5.04
Scherpenzeel,2008,3.43,0.00,1.14,1.76,0.43
Scherpenzeel,2009,3.31,0.00,1.11,1.71,0.39
Scherpenzeel,2010,3.41,0.00,1.11,1.70,0.48
Scherpenzeel,2011,3.48,0.11,1.07,1.78,0.52
Scherpenzeel,2012,3.55,0.13,1.11,1.72,0.60
Scherpenzeel,2013,3.49,0.13,1.09,1.64,0.63
Scherpenzeel,2014,3.47,0.14,1.05,1.57,0.71
Schiedam,2008,36.61,0.02,6.71,18.09,11.79
Schiedam,2009,38.22,0.00,6.61,18.69,12.91
Schiedam,2010,34.95,0.00,6.65,17.26,11.03
Schiedam,2011,34.61,0.01,6.80,16.69,11.11
Schiedam,2012,33.40,0.02,6.49,16.73,10.16
Schiedam,2013,32.30,0.01,6.40,16.12,9.77
Schiedam,2014,32.44,0.09,6.41,16.77,9.18
Schiermonnikoog,2008,0.37,0.00,0.03,0.24,0.10
Schiermonnikoog,2009,0.38,0.00,0.03,0.25,0.10
Schiermonnikoog,2010,0.39,0.00,0.03,0.24,0.11
Schiermonnikoog,2011,0.41,0.00,.,0.25,0.13
Schiermonnikoog,2012,0.46,0.00,.,0.28,0.14
Schiermonnikoog,2013,0.45,0.00,.,0.30,0.12
Schiermonnikoog,2014,0.44,0.00,.,0.28,0.12
Schijndel,2008,9.79,0.05,2.30,5.45,1.98
Schijndel,2009,9.85,0.05,2.26,5.28,2.27
Schijndel,2010,10.06,0.06,2.33,5.22,2.45
Schijndel,2011,9.99,0.06,2.25,5.34,2.33
Schijndel,2012,9.03,0.05,1.96,4.70,2.32
Schijndel,2013,8.61,0.05,1.79,4.65,2.13
Schijndel,2014,9.15,0.05,1.84,5.24,2.02
Schinnen,2008,2.74,0.00,0.38,1.41,0.94
Schinnen,2009,2.74,0.00,0.50,1.23,1.01
Schinnen,2010,2.65,0.00,0.48,1.30,0.86
Schinnen,2011,2.39,0.01,0.48,1.09,0.81
Schinnen,2012,2.43,0.03,0.48,1.15,0.77
Schinnen,2013,2.45,0.01,0.43,1.13,0.88
Schinnen,2014,2.40,0.01,0.44,1.11,0.85
Schouwen-Duiveland,2008,10.74,0.52,2.13,5.83,2.27
Schouwen-Duiveland,2009,10.25,0.51,2.05,5.32,2.38
Schouwen-Duiveland,2010,10.63,0.53,2.12,5.36,2.62
Schouwen-Duiveland,2011,10.66,0.47,2.09,5.29,2.80
Schouwen-Duiveland,2012,10.89,0.54,2.07,5.42,2.87
Schouwen-Duiveland,2013,10.50,0.53,2.08,5.16,2.74
Schouwen-Duiveland,2014,10.96,0.53,2.06,5.47,2.90
Simpelveld,2008,1.68,0.00,0.10,0.88,0.69
Simpelveld,2009,1.61,0.00,0.13,0.80,0.67
Simpelveld,2010,1.67,0.00,0.11,0.82,0.73
Simpelveld,2011,2.04,0.00,.,0.92,1.01
Simpelveld,2012,1.82,0.00,.,0.89,0.81
Simpelveld,2013,1.69,0.00,.,0.82,0.77
Simpelveld,2014,1.66,0.01,0.09,0.81,0.75
Sint Anthonis,2008,3.44,0.51,0.53,1.03,1.37
Sint Anthonis,2009,3.35,0.48,0.53,1.05,1.28
Sint Anthonis,2010,3.21,0.42,0.47,1.04,1.29
Sint Anthonis,2011,3.32,0.45,0.49,1.08,1.30
Sint Anthonis,2012,3.14,0.44,0.47,1.03,1.20
Sint Anthonis,2013,3.30,0.45,0.54,1.04,1.27
Sint Anthonis,2014,3.17,0.44,0.39,1.04,1.31
Sint-Michielsgestel,2008,6.65,0.17,1.33,2.98,2.17
Sint-Michielsgestel,2009,6.46,0.17,1.21,2.77,2.31
Sint-Michielsgestel,2010,6.69,0.18,1.16,2.79,2.55
Sint-Michielsgestel,2011,6.79,0.19,1.19,2.70,2.71
Sint-Michielsgestel,2012,6.83,0.18,1.06,2.86,2.73
Sint-Michielsgestel,2013,6.27,0.18,0.81,2.66,2.62
Sint-Michielsgestel,2014,6.30,0.19,0.81,2.78,2.51
Sint-Oedenrode,2008,5.65,0.26,1.23,3.11,1.05
Sint-Oedenrode,2009,5.36,0.35,1.18,2.64,1.19
Sint-Oedenrode,2010,5.66,0.32,1.28,2.78,1.28
Sint-Oedenrode,2011,5.57,0.29,1.08,2.89,1.31
Sint-Oedenrode,2012,5.73,0.28,0.97,3.08,1.40
Sint-Oedenrode,2013,6.89,0.28,0.90,4.29,1.42
Sint-Oedenrode,2014,6.33,0.31,0.89,3.86,1.28
Sittard-Geleen,2008,53.91,0.04,12.59,23.76,17.52
Sittard-Geleen,2009,51.35,0.04,11.74,22.30,17.27
Sittard-Geleen,2010,52.44,0.04,11.56,22.92,17.92
Sittard-Geleen,2011,52.56,0.03,11.69,22.85,17.99
Sittard-Geleen,2012,50.33,0.03,11.85,20.38,18.07
Sittard-Geleen,2013,48.25,0.03,10.56,20.87,16.79
Sittard-Geleen,2014,50.69,0.03,11.12,22.66,16.88
Sliedrecht,2008,14.53,0.00,3.11,7.40,4.01
Sliedrecht,2009,14.95,0.00,3.16,7.58,4.19
Sliedrecht,2010,15.35,0.00,3.36,7.83,4.15
Sliedrecht,2011,15.33,0.00,3.24,7.88,.
Sliedrecht,2012,15.31,0.00,3.21,7.81,.
Sliedrecht,2013,15.27,0.00,2.78,7.89,.
Sliedrecht,2014,15.81,0.00,3.31,7.85,.
Slochteren,2008,3.15,0.10,0.99,1.10,0.96
Slochteren,2009,3.14,0.10,1.01,1.00,1.03
Slochteren,2010,3.29,0.11,1.02,1.15,1.01
Slochteren,2011,3.32,0.10,0.99,1.14,1.09
Slochteren,2012,3.28,0.09,1.12,1.08,0.99
Slochteren,2013,2.99,0.10,0.77,1.17,0.96
Slochteren,2014,3.27,0.10,0.90,1.24,1.03
Sluis,2008,7.87,0.24,1.04,4.55,2.04
Sluis,2009,7.54,0.22,0.97,4.54,1.82
Sluis,2010,7.68,0.22,1.06,4.60,1.80
Sluis,2011,7.79,0.20,0.91,4.63,2.04
Sluis,2012,7.98,0.22,1.01,4.66,2.10
Sluis,2013,8.12,0.21,1.11,4.77,2.03
Sluis,2014,8.37,0.19,1.30,4.86,2.01
Smallingerland,2008,29.17,0.05,7.11,12.17,9.84
Smallingerland,2009,28.40,0.06,5.99,11.41,10.93
Smallingerland,2010,28.45,0.07,5.87,12.05,10.45
Smallingerland,2011,28.95,0.09,6.50,12.03,10.34
Smallingerland,2012,28.68,0.07,6.45,11.87,10.28
Smallingerland,2013,27.99,0.07,6.19,11.77,9.97
Smallingerland,2014,28.40,0.06,5.86,12.30,10.17
Soest,2008,18.33,0.04,2.74,8.75,6.80
Soest,2009,17.42,0.05,2.52,8.26,6.58
Soest,2010,16.74,0.07,2.23,8.37,6.07
Soest,2011,16.36,0.06,2.21,8.56,5.52
Soest,2012,15.71,0.05,2.03,8.16,5.48
Soest,2013,15.54,0.04,1.79,7.75,5.96
Soest,2014,15.35,0.03,1.79,7.49,6.05
Someren,2008,6.51,0.60,2.24,2.54,1.13
Someren,2009,6.37,0.59,2.07,2.60,1.11
Someren,2010,6.74,0.60,1.97,3.01,1.16
Someren,2011,6.69,0.62,2.06,2.84,1.18
Someren,2012,6.63,0.63,2.00,2.87,1.13
Someren,2013,6.63,0.66,1.83,3.06,1.07
Someren,2014,6.86,0.71,1.87,3.12,1.15
Son en Breugel,2008,12.24,0.05,2.75,7.57,1.88
Son en Breugel,2009,11.59,0.08,2.54,7.20,1.77
Son en Breugel,2010,12.06,0.05,2.67,7.35,1.99
Son en Breugel,2011,12.19,0.05,2.64,7.54,1.96
Son en Breugel,2012,12.45,0.06,2.68,7.73,1.99
Son en Breugel,2013,12.53,0.04,2.63,8.04,1.82
Son en Breugel,2014,12.42,0.03,2.61,8.01,1.77
Stadskanaal,2008,11.36,0.02,1.99,4.75,4.59
Stadskanaal,2009,11.81,0.00,2.13,4.40,5.26
Stadskanaal,2010,11.14,0.00,2.17,4.24,4.71
Stadskanaal,2011,11.19,0.02,2.10,4.36,4.71
Stadskanaal,2012,10.77,0.03,2.04,4.18,4.53
Stadskanaal,2013,10.51,0.02,2.01,3.97,4.51
Stadskanaal,2014,10.21,0.02,1.99,4.01,4.19
Staphorst,2008,5.69,0.12,2.25,2.60,0.72
Staphorst,2009,5.53,0.12,2.12,2.56,0.73
Staphorst,2010,5.61,0.13,2.20,2.53,0.75
Staphorst,2011,5.60,0.12,2.18,2.54,0.76
Staphorst,2012,6.05,0.13,2.13,3.00,0.80
Staphorst,2013,6.15,0.14,1.99,3.02,0.99
Staphorst,2014,6.55,0.14,1.98,3.40,1.02
Stede Broec,2008,5.24,0.51,0.53,2.33,1.87
Stede Broec,2009,4.86,0.44,0.47,2.16,1.79
Stede Broec,2010,4.93,0.39,0.39,2.21,1.95
Stede Broec,2011,5.27,0.60,0.35,2.25,2.07
Stede Broec,2012,5.16,0.45,0.30,2.28,2.13
Stede Broec,2013,4.95,0.42,0.30,2.21,2.02
Stede Broec,2014,4.99,0.45,0.28,2.31,1.95
Steenbergen,2008,5.78,0.46,0.94,3.25,1.13
Steenbergen,2009,5.61,0.52,0.95,3.09,1.05
Steenbergen,2010,5.64,0.53,0.89,3.03,1.19
Steenbergen,2011,5.79,0.48,1.12,3.02,1.17
Steenbergen,2012,6.07,0.45,1.03,3.12,1.47
Steenbergen,2013,5.64,0.49,0.80,3.03,1.32
Steenbergen,2014,5.39,0.41,0.77,3.08,1.13
Steenwijkerland,2008,11.79,0.18,2.99,4.98,3.65
Steenwijkerland,2009,12.05,0.19,2.93,5.01,3.92
Steenwijkerland,2010,12.00,0.18,2.81,5.10,3.90
Steenwijkerland,2011,12.10,0.23,2.73,4.95,4.19
Steenwijkerland,2012,11.90,0.21,2.65,4.86,4.17
Steenwijkerland,2013,11.50,0.21,2.30,4.48,4.50
Steenwijkerland,2014,11.66,0.17,2.61,4.78,4.10
Stein (L.),2008,7.18,0.00,1.96,4.26,0.96
Stein (L.),2009,7.91,0.00,2.09,4.91,0.90
Stein (L.),2010,7.51,0.00,2.10,4.29,1.12
Stein (L.),2011,7.52,0.00,1.91,4.60,.
Stein (L.),2012,7.57,0.00,2.07,4.38,1.13
Stein (L.),2013,7.44,0.00,2.33,3.92,.
Stein (L.),2014,7.41,0.00,2.16,4.06,.
Stichtse Vecht,2008, , , , ,
Stichtse Vecht,2009, , , , ,
Stichtse Vecht,2010, , , , ,
Stichtse Vecht,2011,17.88,0.08,2.32,10.55,4.93
Stichtse Vecht,2012,18.03,0.08,2.24,10.74,4.97
Stichtse Vecht,2013,18.45,0.08,2.13,11.02,5.23
Stichtse Vecht,2014,17.96,0.08,2.05,10.41,5.42
Strijen,2008,2.12,0.04,0.63,1.09,0.36
Strijen,2009,2.12,0.04,0.57,1.21,0.30
Strijen,2010,2.19,0.05,0.65,1.16,0.34
Strijen,2011,2.17,0.05,0.65,1.15,0.33
Strijen,2012,2.31,0.05,0.61,1.33,0.32
Strijen,2013,2.15,0.07,0.61,1.15,0.32
Strijen,2014,2.07,0.08,0.54,1.11,0.33
S�dwest-Frysl�n,2008, , , , ,
S�dwest-Frysl�n,2009, , , , ,
S�dwest-Frysl�n,2010, , , , ,
S�dwest-Frysl�n,2011,31.82,0.35,6.15,13.86,11.45
S�dwest-Frysl�n,2012,32.20,0.37,5.91,14.16,11.76
S�dwest-Frysl�n,2013,30.72,0.38,5.49,13.15,11.69
S�dwest-Frysl�n,2014,30.20,0.39,5.44,12.87,11.50
Terneuzen,2008,26.96,0.15,8.33,10.47,8.01
Terneuzen,2009,25.03,0.19,7.73,10.59,6.52
Terneuzen,2010,27.47,0.21,8.15,10.82,8.30
Terneuzen,2011,28.27,0.21,8.65,11.35,8.07
Terneuzen,2012,26.90,0.19,8.11,10.69,7.91
Terneuzen,2013,26.02,0.15,7.86,10.09,7.93
Terneuzen,2014,26.01,0.16,7.99,9.90,7.96
Terschelling,2008,1.56,0.02,0.16,0.96,0.43
Terschelling,2009,1.59,0.03,0.14,0.98,0.43
Terschelling,2010,1.76,0.03,0.14,0.98,0.61
Terschelling,2011,1.71,0.03,0.12,0.99,0.57
Terschelling,2012,1.78,0.03,0.11,1.10,0.55
Terschelling,2013,1.75,0.02,0.12,1.10,0.51
Terschelling,2014,1.68,0.02,0.11,1.01,0.54
Texel,2008,5.50,0.13,0.57,3.32,1.48
Texel,2009,5.57,0.14,0.66,3.40,1.37
Texel,2010,5.77,0.15,0.71,3.22,1.68
Texel,2011,6.03,0.15,0.70,3.37,1.81
Texel,2012,6.22,0.13,0.64,3.79,1.65
Texel,2013,5.89,0.12,0.63,3.73,1.40
Texel,2014,6.01,0.14,0.61,3.84,1.43
Teylingen,2008,12.91,0.31,2.45,5.98,4.18
Teylingen,2009,13.23,0.26,2.41,5.63,4.93
Teylingen,2010,14.02,0.28,3.49,5.97,4.28
Teylingen,2011,13.73,0.35,3.42,6.30,3.66
Teylingen,2012,13.52,0.34,3.63,5.99,3.56
Teylingen,2013,13.84,0.32,3.76,6.27,3.49
Teylingen,2014,13.57,0.16,3.62,6.22,3.57
Tholen,2008,5.73,0.23,1.61,2.37,1.51
Tholen,2009,5.41,0.29,1.39,2.28,1.44
Tholen,2010,5.47,0.29,1.28,2.29,1.61
Tholen,2011,5.89,0.30,1.45,2.46,1.68
Tholen,2012,6.02,0.27,1.58,2.43,1.74
Tholen,2013,5.97,0.28,1.52,2.35,1.82
Tholen,2014,6.06,0.30,1.55,2.39,1.82
Tiel,2008,26.26,0.11,3.93,13.58,8.64
Tiel,2009,24.69,0.11,3.65,13.44,7.50
Tiel,2010,26.00,0.09,3.72,13.27,8.92
Tiel,2011,26.05,0.12,3.09,13.28,9.56
Tiel,2012,24.47,0.14,3.15,12.44,8.74
Tiel,2013,23.83,0.14,3.00,11.80,8.90
Tiel,2014,24.28,0.14,3.16,12.38,8.60
Tilburg,2008,121.65,0.17,17.01,64.47,40.00
Tilburg,2009,122.75,0.19,15.95,63.46,43.16
Tilburg,2010,124.15,0.19,15.23,61.27,47.46
Tilburg,2011,118.89,0.21,15.33,60.41,42.93
Tilburg,2012,116.03,0.21,15.12,59.17,41.53
Tilburg,2013,113.89,0.23,14.68,59.88,39.10
Tilburg,2014,117.14,0.25,14.28,63.91,38.70
Tubbergen,2008,6.51,0.20,2.12,2.94,1.25
Tubbergen,2009,6.30,0.20,2.00,2.87,1.22
Tubbergen,2010,6.54,0.17,2.13,2.65,1.58
Tubbergen,2011,6.55,0.15,2.09,2.74,1.57
Tubbergen,2012,6.22,0.17,1.66,2.78,1.60
Tubbergen,2013,5.88,0.16,1.50,2.82,1.39
Tubbergen,2014,5.78,0.17,1.43,2.74,1.43
Twenterand,2008,9.16,0.19,3.06,3.95,1.97
Twenterand,2009,8.80,0.16,2.90,3.69,2.05
Twenterand,2010,9.19,0.20,2.79,3.62,2.59
Twenterand,2011,9.62,0.18,2.76,3.94,2.75
Twenterand,2012,9.26,0.18,2.63,3.78,2.67
Twenterand,2013,8.80,0.18,2.48,3.64,2.50
Twenterand,2014,8.72,0.16,2.32,3.74,2.50
Tynaarlo,2008,10.17,0.09,1.00,4.16,4.92
Tynaarlo,2009,10.19,0.08,1.00,3.86,5.25
Tynaarlo,2010,10.20,0.09,1.02,3.82,5.26
Tynaarlo,2011,9.89,0.07,0.96,3.76,5.11
Tynaarlo,2012,9.43,0.09,0.58,3.86,4.91
Tynaarlo,2013,9.22,0.07,0.53,3.87,4.75
Tynaarlo,2014,8.94,0.07,0.58,3.71,4.58
Tytsjerksteradiel,2008,8.06,0.06,1.63,3.31,3.05
Tytsjerksteradiel,2009,6.82,0.08,1.52,2.95,2.28
Tytsjerksteradiel,2010,8.16,0.11,1.48,3.07,3.51
Tytsjerksteradiel,2011,8.03,0.10,1.48,3.07,3.38
Tytsjerksteradiel,2012,7.97,0.11,1.35,3.17,3.34
Tytsjerksteradiel,2013,6.55,0.12,1.13,2.68,2.61
Tytsjerksteradiel,2014,6.56,0.09,1.12,2.71,2.64
Uden,2008,21.89,0.42,4.76,10.62,6.09
Uden,2009,21.71,0.37,4.43,10.56,6.34
Uden,2010,23.00,0.43,4.26,11.40,6.91
Uden,2011,22.89,0.44,4.44,11.08,6.93
Uden,2012,27.25,0.43,4.10,13.93,8.78
Uden,2013,26.02,0.46,4.54,10.38,10.64
Uden,2014,25.15,0.40,4.46,10.15,10.14
Uitgeest,2008,3.18,0.04,0.77,1.69,0.69
Uitgeest,2009,3.15,0.00,0.72,1.67,0.73
Uitgeest,2010,3.17,0.03,0.76,1.50,0.89
Uitgeest,2011,3.28,0.00,.,1.62,0.86
Uitgeest,2012,3.40,0.01,0.72,1.83,0.84
Uitgeest,2013,3.04,0.01,0.75,1.55,0.74
Uitgeest,2014,3.22,0.01,0.81,1.69,0.70
Uithoorn,2008,12.65,1.07,1.77,7.61,2.20
Uithoorn,2009,11.99,1.00,1.56,7.22,2.21
Uithoorn,2010,12.72,1.06,1.64,7.68,2.34
Uithoorn,2011,12.93,1.11,1.65,7.93,2.23
Uithoorn,2012,12.22,1.06,1.57,7.17,2.41
Uithoorn,2013,12.43,0.99,1.54,7.64,2.26
Uithoorn,2014,11.58,0.98,1.48,6.85,2.27
Urk,2008,6.34,0.14,2.22,2.98,1.00
Urk,2009,6.23,0.11,2.30,2.81,1.01
Urk,2010,6.29,0.12,2.20,2.92,1.05
Urk,2011,6.37,0.13,2.15,2.97,1.12
Urk,2012,6.70,0.10,2.23,3.14,1.22
Urk,2013,7.00,0.12,2.21,3.44,1.24
Urk,2014,7.34,0.12,2.18,3.75,1.30
Utrecht (gemeente),2008,233.30,0.16,17.47,129.23,86.44
Utrecht (gemeente),2009,235.22,0.10,16.41,126.40,92.31
Utrecht (gemeente),2010,238.93,0.15,15.92,129.63,93.23
Utrecht (gemeente),2011,244.55,0.15,15.72,130.08,98.61
Utrecht (gemeente),2012,248.02,0.08,15.68,134.27,97.99
Utrecht (gemeente),2013,247.90,0.11,15.42,132.09,100.28
Utrecht (gemeente),2014,251.12,0.00,14.88,133.85,.
Utrechtse Heuvelrug,2008,23.08,0.17,1.39,7.36,14.17
Utrechtse Heuvelrug,2009,21.43,0.18,1.31,6.75,13.19
Utrechtse Heuvelrug,2010,21.63,0.17,1.33,6.62,13.51
Utrechtse Heuvelrug,2011,23.83,0.20,1.09,6.70,15.84
Utrechtse Heuvelrug,2012,21.35,0.20,1.06,6.75,13.35
Utrechtse Heuvelrug,2013,20.09,0.22,1.10,6.51,12.26
Utrechtse Heuvelrug,2014,20.01,0.22,1.11,6.63,12.05
Vaals,2008,1.74,0.00,0.14,0.99,0.61
Vaals,2009,1.79,0.00,0.10,1.11,0.58
Vaals,2010,1.87,0.00,0.11,1.18,0.58
Vaals,2011,1.80,0.00,.,1.15,0.52
Vaals,2012,1.83,0.00,.,1.16,0.55
Vaals,2013,1.83,0.00,.,1.18,0.53
Vaals,2014,1.90,0.00,.,1.19,0.60
Valkenburg aan de Geul,2008,5.42,0.00,0.55,2.66,2.19
Valkenburg aan de Geul,2009,5.82,0.00,0.55,2.98,2.27
Valkenburg aan de Geul,2010,5.93,0.00,0.59,3.26,2.08
Valkenburg aan de Geul,2011,5.80,0.01,0.44,3.13,2.21
Valkenburg aan de Geul,2012,5.79,0.01,0.42,2.78,2.59
Valkenburg aan de Geul,2013,5.57,0.01,0.46,2.70,2.41
Valkenburg aan de Geul,2014,5.47,0.01,0.40,2.77,2.29
Valkenswaard,2008,13.30,0.07,3.21,7.33,2.70
Valkenswaard,2009,12.12,0.07,2.56,6.65,2.84
Valkenswaard,2010,12.21,0.07,2.30,7.09,2.74
Valkenswaard,2011,11.98,0.07,2.31,6.61,2.99
Valkenswaard,2012,11.81,0.09,2.18,6.72,2.83
Valkenswaard,2013,11.43,0.09,1.90,6.72,2.72
Valkenswaard,2014,10.82,0.08,2.02,6.06,2.67
Veendam,2008,11.31,0.03,2.64,5.42,3.21
Veendam,2009,11.31,0.04,2.47,5.29,3.50
Veendam,2010,11.80,0.05,2.45,5.54,3.77
Veendam,2011,12.02,0.05,2.57,5.49,3.91
Veendam,2012,11.58,0.04,2.56,5.00,3.98
Veendam,2013,11.28,0.04,2.67,4.85,3.73
Veendam,2014,10.72,0.04,2.63,4.40,3.65
Veenendaal,2008,29.76,0.04,6.08,17.68,5.96
Veenendaal,2009,30.90,0.04,6.12,17.39,7.35
Veenendaal,2010,29.56,0.04,6.11,16.68,6.73
Veenendaal,2011,28.80,0.04,5.83,16.81,6.12
Veenendaal,2012,27.62,0.04,5.74,15.83,6.00
Veenendaal,2013,27.54,0.04,5.68,15.92,5.89
Veenendaal,2014,28.08,0.05,5.77,16.22,6.05
Veere,2008,5.67,0.19,0.80,3.36,1.32
Veere,2009,5.45,0.19,0.73,3.41,1.11
Veere,2010,5.94,0.20,0.77,3.28,1.69
Veere,2011,6.12,0.21,0.82,3.41,1.68
Veere,2012,6.10,0.22,0.80,3.43,1.65
Veere,2013,6.11,0.22,0.69,3.48,1.72
Veere,2014,6.30,0.23,0.62,3.68,1.76
Veghel,2008,28.05,0.46,7.66,14.27,5.65
Veghel,2009,27.61,0.49,7.22,14.80,5.10
Veghel,2010,28.05,0.41,6.90,15.10,5.64
Veghel,2011,26.98,0.36,7.15,14.03,5.43
Veghel,2012,27.75,0.34,7.02,15.11,5.29
Veghel,2013,26.88,0.32,6.52,16.06,3.99
Veghel,2014,28.64,0.41,6.99,17.43,3.81
Veldhoven,2008,22.23,0.08,6.82,7.91,7.42
Veldhoven,2009,21.98,0.08,6.63,7.35,7.92
Veldhoven,2010,24.05,0.08,7.18,8.12,8.67
Veldhoven,2011,24.96,0.07,7.73,8.25,8.92
Veldhoven,2012,25.86,0.07,7.85,8.58,9.36
Veldhoven,2013,24.90,0.08,8.25,7.61,8.96
Veldhoven,2014,25.50,0.09,8.63,7.74,9.05
Velsen,2008,32.96,0.16,14.83,11.76,6.21
Velsen,2009,32.51,0.17,13.93,11.73,6.68
Velsen,2010,32.19,0.00,13.68,11.50,6.87
Velsen,2011,32.39,0.18,13.58,11.59,7.04
Velsen,2012,33.17,0.15,13.50,12.23,7.28
Velsen,2013,32.90,0.16,13.02,11.73,7.99
Velsen,2014,31.96,0.00,13.11,11.06,.
Venlo,2008,56.54,1.23,12.20,26.31,16.80
Venlo,2009,55.28,1.08,11.27,26.09,16.85
Venlo,2010,59.26,1.45,12.71,26.98,18.12
Venlo,2011,61.07,1.55,12.36,29.18,17.98
Venlo,2012,59.23,1.40,12.05,28.12,17.67
Venlo,2013,60.02,1.62,11.85,28.40,18.14
Venlo,2014,60.48,1.66,11.65,29.33,17.84
Venray,2008,24.52,0.70,4.19,13.54,6.09
Venray,2009,25.09,0.69,3.83,13.14,7.42
Venray,2010,27.24,0.90,4.42,14.29,7.63
Venray,2011,27.34,0.92,4.23,14.79,7.40
Venray,2012,28.04,0.97,4.09,15.76,7.21
Venray,2013,28.06,0.96,4.47,15.99,6.63
Venray,2014,28.67,0.96,4.38,16.83,6.50
Vianen,2008,11.98,0.03,2.00,8.79,1.16
Vianen,2009,11.13,0.05,2.48,7.42,1.18
Vianen,2010,10.73,0.03,2.60,6.73,1.36
Vianen,2011,11.23,0.03,2.57,7.29,1.34
Vianen,2012,11.28,0.04,2.56,7.25,1.44
Vianen,2013,12.26,0.04,2.50,8.16,1.56
Vianen,2014,12.74,0.03,2.45,8.75,1.50
Vlaardingen,2008,22.60,0.05,4.33,10.92,7.31
Vlaardingen,2009,20.96,0.19,4.28,10.68,5.81
Vlaardingen,2010,21.87,0.17,4.55,10.37,6.78
Vlaardingen,2011,22.69,0.10,4.35,11.51,6.73
Vlaardingen,2012,23.24,0.05,3.76,11.86,7.56
Vlaardingen,2013,21.40,0.05,3.75,10.47,7.13
Vlaardingen,2014,20.56,0.03,3.55,10.10,6.88
Vlagtwedde,2008,5.30,0.06,1.40,1.56,2.27
Vlagtwedde,2009,4.84,0.06,1.31,1.67,1.80
Vlagtwedde,2010,5.04,0.06,1.31,1.60,2.07
Vlagtwedde,2011,4.79,0.07,1.38,1.40,1.94
Vlagtwedde,2012,4.57,0.05,1.35,1.53,1.63
Vlagtwedde,2013,4.77,0.06,1.32,1.53,1.86
Vlagtwedde,2014,4.92,0.07,1.34,1.75,1.77
Vlieland,2008,0.55,0.00,0.04,0.33,0.18
Vlieland,2009,0.58,0.00,0.04,0.36,0.18
Vlieland,2010,0.57,0.00,0.04,0.36,0.17
Vlieland,2011,0.55,0.00,.,0.32,0.20
Vlieland,2012,0.58,0.00,.,0.37,0.17
Vlieland,2013,0.58,0.00,.,0.35,0.19
Vlieland,2014,0.59,0.00,.,0.38,0.18
Vlissingen,2008,18.46,0.02,3.55,8.82,6.07
Vlissingen,2009,17.17,0.00,3.30,7.93,5.92
Vlissingen,2010,16.67,0.00,3.29,7.42,5.94
Vlissingen,2011,17.53,0.02,3.72,7.89,5.91
Vlissingen,2012,16.93,0.02,3.12,7.72,6.08
Vlissingen,2013,16.81,0.01,2.88,7.96,5.96
Vlissingen,2014,17.17,0.02,3.43,7.50,6.23
Voerendaal,2008,1.84,0.04,0.36,0.92,0.52
Voerendaal,2009,1.72,0.04,0.30,0.87,0.51
Voerendaal,2010,1.76,0.04,0.29,0.93,0.51
Voerendaal,2011,2.52,0.04,0.31,1.02,1.15
Voerendaal,2012,2.19,0.04,0.32,0.93,0.89
Voerendaal,2013,1.93,0.03,0.30,0.91,0.69
Voerendaal,2014,1.93,0.04,0.35,0.87,0.67
Voorschoten,2008,5.35,0.00,0.64,2.73,1.94
